"","WRS_IDs","age","gender","agegender","agegender2","region","newspaper","partyid","socialgrade","profile_education_age","profile_education_level","profile_housing_stat","w1_starttime","w1_endtime","w1_W8","w1_q1","w1_q2","w1_pi1","w1_pi2","w1_pi3","w1_pi4","w1_pi5","w1_pi6","w1_pi7_new_1","w1_pi7_new_2","w1_pi7_new_3","w1_pi7_new_4","w1_pi7_new_5","w1_pi8grid_new","w1_pi8_new","w1_pi9_new","w1_pi10_new","w1_pi11_new","w1_vi1","w1_vi2","w1_vi3o","w1_vi3_1","w1_vi3_2","w1_vi3_3","w1_vi3_4","w1_vi3_5","w1_vi3_6","w1_vi3_7","w1_vi4o","w1_vi4_1","w1_vi4_2","w1_vi4_3","w1_vi4_4","w1_vi4_5","w1_vi4_6","w1_vi4_7","w1_vi5","w1_vi6","w1_vi7o","w1_vi7","w1_vi8","w1_vi9grid","w1_vi9a","w1_vi9b","w1_vi9c","w1_vi9d","w1_vi10","w1_vi11o","w1_vi11","w1_vi12","w1_vi13o","w1_vi13","w1_vi14","w1_vi15","w1_vi16","w1_vi17","w1_vi18","w1_vi19","w1_vi20","w1_vi20o","w1_vi21","w1_cp1","w1_cp2a_1","w1_cp2a_2","w1_cp2a_3","w1_cp2a_4","w1_cp2a_5","w1_cp2a_6","w1_cp2b","w1_cp3e_1","w1_cp3e_2","w1_cp3e_3","w1_cp3e_4","w1_cp3e_5","w1_cp3e_6","w1_cp3e_7","w1_cp3e_8","w1_cp3f","w1_cp3g_1","w1_cp3g_2","w1_cp3g_3","w1_cp3g_4","w1_cp3g_5","w1_cp3g_6","w1_cp3g_7","w1_cp3g_8","w1_cp3h","w1_cp3i_1","w1_cp3i_2","w1_cp3i_3","w1_cp3i_4","w1_cp3i_5","w1_cp3i_6","w1_cp3i_7","w1_cp3i_8","w1_cp3j","w1_cp3k_1","w1_cp3k_2","w1_cp3k_3","w1_cp3k_4","w1_cp3k_5","w1_cp3k_6","w1_cp3k_7","w1_cp3k_8","w1_cp3l","w1_cb4grid","w1_cp4a","w1_cp4b","w1_cp4c","w1_cp4d","w1_cp4e","w1_cp5","w1_d16a","w1_d16b","w1_d17a","w1_d17b","w1_d17c","w1_d18","w1_d19","w1_d20","w1_d21","w1_d22","w1_pi1a","w1_pi1b","w1_pi2a","w1_pi2b","w1_pi12grid","w1_pi12a","w1_pi12b","w1_pi12c","w1_pi12d","w1_pi12e","w1_pi12f","w1_pi12g","w1_pi12h","w1_pi12i","w1_pi13grid","w1_pi13a","w1_pi13b","w1_pi13c","w1_pi13d","w1_pi13e","w1_pi13f","w1_pi13g","w1_pi13h","w1_pi13i","w1_pi14grid","w1_pi14a","w1_pi14b","w1_pi14c","w1_pi14d","w1_pi14e","w1_p15","w1_p16","w1_pi3a","w1_pi3b","w1_pi4a","w1_pi4b","w1_pi5a","w1_pi5b","w1_pi6a","w1_pi6b","w1_pi7","w1_pi8","w1_pi9","w1_pi10","w1_pi11","w1_ap1a","w1_ap1b","w1_ap2grid","w1_ap2a","w1_ap2b","w1_ap2c","w1_ap2d","w1_ap2e","w1_ap2f","w1_ap2g","w1_ap3grid","w1_ap3a","w1_ap3b","w1_ap3c","w1_ap3d","w1_ap3e","w1_ap3f","w1_ap3g","w1_ap7grid","w1_ap7a","w1_ap7b","w1_ap7c","w1_ap7d","w1_ap7e","w1_ap7f","w1_ap7g","w1_ap8grid","w1_ap8a","w1_ap8b","w1_ap8c","w1_ap8d","w1_ap8e","w1_ap8f","w1_ap8g","w1_ap9","w1_ap10grid","w1_ap10a","w1_ap10b","w1_ap10c","w1_ap10d","w1_ap10e","w1_ap10f","w1_ap10g","w1_ap11_1","w1_ap11grid","w1_ap11a","w1_ap11b","w1_ap11c","w1_ap11d","w1_ap11e","w1_ap11f","w1_ap11g","w1_ap5grid1","w1_ap5a","w1_ap5b","w1_ap5c","w1_ap5d","w1_ap5e","w1_ap5grid2","w1_ap5f","w1_ap5g","w1_ap5h","w1_ap5i","w1_ap5j","w1_ap5grid3","w1_ap5k","w1_ap5l","w1_ap5m","w1_ap5n","w1_ap5o","w1_ap5grid4","w1_ap5p","w1_ap5q","w1_ap5r","w1_ap5s","w1_ap5t","w1_ap6grid","w1_ap6a","w1_ap6b","w1_ap6c","w1_ap6d","w1_ap6e","w1_ap6f","w1_ap6g","w1_ap12grid","w1_ap12a","w1_ap12b","w1_ap13grid","w1_ap13a","w1_ap13b","w1_ad1","w1_ad2","w1_ad2a","w1_ad2b","w1_ad2c","w1_ad2d","w1_ad2e","w1_ad2f","w1_ad2g","w1_ad3","w1_ad4","w1_ad5_1","w1_ad5_2","w1_ad5_3","w1_ad5_4","w1_ad5_5","w1_ad5_6","w1_ad5_7","w1_ad6","w1_ad7","w1_ad8","w1_ad9","w1_ad10","w1_ad11grid","w1_ad11a","w1_ad11b","w1_ad11c","w1_ad11d","w1_ad11e","w1_ad12grid","w1_ad12a","w1_ad12b","w1_ad12c","w1_ad12d","w1_ad12e","w1_ad13","w1_ad14","w1_r1grid","w1_r1a","w1_r1b","w1_r1c","w1_r1d","w1_r1e","w1_r1f","w1_r1g","w1_r1h","w1_r1j","w1_r2grid","w1_r2a","w1_r2b","w1_r2c","w1_r2d","w1_r2e","w1_r2f","w1_r2g","w1_r2h","w1_party","w1_split"
"1866",2352,55,1,3,4,2,1,1,2,2,3,1,2011-04-21 16:22:06,2011-04-21 16:42:18,0.76405190806812,2,NA,3,5,2,2,1,3,1,1,1,1,2,1,3,1,2,1,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",1,NA,1,1,11,1,9,2,"__NA__",1,NA,"__NA__",1,1,1,2,2,1,5,3,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,3,3,3,3,2,1,1,1,2,2,1,2,11,1,2,"cost of living",3,"cost of living",3,1,5,5,5,5,5,5,5,5,5,1,2,4,2,2,2,2,2,2,2,1,2,3,2,2,2,4,NA,2,2,3,3,4,3,3,3,5,5,2,2,2,1,1,1,1,11,1,9,4,4,1,1,1,11,1,12,4,12,12,1,1,11,1,12,12,12,12,1,1,11,1,12,12,12,12,6,1,6,12,12,12,12,12,12,3,1,12,12,12,12,12,12,12,1,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,11,1,1,3,3,3,1,1,5,4,1,2,2,3,1,3,3,2,1,1,3,3,3,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,2,2,2,1,2,2,5,1,8,11,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,"Labour",1
"1867",2353,29,1,2,2,2,3,2,2,5,16,1,2011-04-09 11:32:30,2011-04-09 11:55:45,5.68046399943869,1,NA,1,8,3,3,1,3,2,2,2,1,2,1,3,3,4,3,3,10,"__NA__",NA,NA,NA,NA,NA,NA,NA,"I dont know how the national assembley affect me.",2,2,2,2,1,2,2,3,7,"__NA__",NA,NA,1,12,12,12,12,13,"__NA__",NA,NA,"__NA__",1,5,1,5,5,NA,NA,NA,"__NA__",5,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,5,6,6,4,1,6,1,2,3,NA,NA,2,NA,3,1,1,"Cuts",4,"unemployment",11,1,6,2,4,2,4,2,2,3,2,1,4,5,2,3,2,5,5,2,5,1,6,6,6,6,6,2,NA,6,5,6,5,6,NA,6,NA,2,4,4,6,6,1,2,1,8,4,6,12,2,5,2,1,8,3,4,12,12,2,12,1,8,1,2,12,12,1,12,1,8,8,8,12,12,1,12,10,1,8,4,6,4,6,11,11,1,1,9,7,12,12,12,12,12,1,3,4,4,4,2,1,2,4,4,4,3,1,2,4,4,4,3,1,5,4,5,5,5,1,8,8,6,12,1,1,1,1,5,3,1,6,6,4,1,2,3,2,2,2,2,6,2,6,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,3,1,1,1,1,2,2,1,1,6,6,1,10,10,2,1,1,1,1,1,9,1,4,1,6,3,11,4,11,2,"",1
"1868",2354,64,1,4,4,2,2,1,2,1,18,1,2011-04-10 18:39:42,2011-04-10 19:05:59,1.33073636087404,5,2,2,8,1,1,1,3,1,1,1,1,2,1,3,3,3,3,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,5,"__NA__",5,2,1,1,2,1,1,6,"__NA__",5,2,"__NA__",2,1,1,1,2,1,4,4,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,1,6,1,1,1,2,2,1,2,11,3,1,"Poor Politicians",2,"lack of jobs",3,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,3,3,3,4,1,NA,4,4,3,6,5,5,3,4,3,5,5,5,3,5,1,1,1,1,7,6,1,1,6,4,1,3,7,3,11,1,4,4,1,6,6,5,6,2,6,6,1,3,3,4,4,1,2,4,5,1,3,12,6,1,12,3,1,6,1,6,6,6,12,12,12,12,1,4,3,3,3,3,1,2,2,2,3,2,1,3,3,3,3,3,1,3,4,4,1,4,1,6,1,1,1,1,10,2,1,2,3,1,4,4,5,1,2,3,1,1,3,1,6,3,5,1,2,1,2,2,2,2,2,NA,2,NA,NA,1,1,1,2,1,1,1,1,1,2,1,1,4,5,1,1,11,1,1,1,1,1,1,7,1,3,1,6,2,8,8,11,1,"Labour",2
"1869",2355,66,1,4,4,6,4,1,1,5,18,1,2011-04-25 20:17:09,2011-04-25 20:43:34,0.0901955249674023,2,NA,1,8,1,1,1,1,1,1,1,1,2,1,4,2,4,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",2,NA,1,1,9,1,1,8,"__NA__",2,NA,"__NA__",1,1,1,5,2,1,4,4,"__NA__",4,2,2,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,1,2,1,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,4,5,5,2,1,1,1,2,2,2,NA,11,1,2,"Employment & training",3,"Lack of suitable jobs",3,1,3,3,3,4,5,5,5,5,3,1,3,3,2,3,2,3,3,2,3,1,2,3,1,2,3,1,NA,2,2,6,3,2,2,6,NA,5,5,2,2,2,1,1,1,1,9,1,6,6,1,1,1,1,10,1,9,6,4,5,1,1,10,1,10,6,5,12,1,1,10,1,9,9,5,5,3,1,6,11,7,6,6,9,11,7,1,5,11,12,6,12,12,12,1,4,2,4,4,4,1,2,5,3,4,2,1,3,3,4,4,4,1,3,4,2,2,3,1,11,1,1,5,6,1,1,1,4,4,1,2,2,3,1,2,3,4,1,1,2,1,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,1,2,2,5,1,11,11,10,3,11,11,9,9,11,1,10,7,9,9,11,10,10,10,"Labour",1
"1870",2356,36,2,6,6,5,6,1,1,5,16,2,2011-04-16 13:50:48,2011-04-16 14:10:33,1.01673282251055,6,NA,3,5,3,3,2,3,1,1,2,1,2,1,2,1,2,2,1,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,2,2,2,2,1,5,7,"__NA__",NA,NA,1,6,6,2,5,13,"__NA__",NA,NA,"__NA__",5,3,2,5,5,NA,NA,NA,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,2,3,3,3,6,3,NA,3,NA,NA,2,NA,1,5,3,"recession",11,"recession",11,1,3,3,4,3,4,3,3,4,3,1,4,4,4,3,3,4,4,4,5,1,3,3,3,3,3,NA,2,6,5,6,5,3,3,3,3,3,3,4,3,3,2,NA,1,6,6,5,6,5,1,1,1,6,12,6,12,12,12,12,1,4,12,3,12,12,12,12,1,5,5,5,5,5,5,5,5,1,5,7,4,5,4,11,11,6,1,5,6,6,5,5,6,6,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,12,12,12,12,12,1,1,1,5,5,1,5,5,4,1,2,2,2,3,4,2,2,2,3,2,2,2,2,1,2,2,NA,NA,NA,NA,9,1,5,5,5,5,5,1,2,1,2,1,1,3,3,1,4,4,4,4,1,1,5,5,5,1,7,6,6,6,7,7,6,5,"",2
"1871",2357,48,2,7,7,6,4,1,1,5,16,2,2011-04-15 18:45:36,2011-04-15 19:00:51,0.119301718504978,2,NA,2,7,2,2,1,2,2,1,1,1,2,1,2,2,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,2,2,"__NA__",2,NA,1,1,10,7,9,2,"__NA__",2,NA,"__NA__",1,2,1,2,2,1,4,5,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,4,4,4,3,6,1,1,1,6,12,1,1,11,2,1,"economy",11,"unemployment",11,1,3,3,4,3,5,5,4,4,4,1,2,3,2,2,3,3,3,3,3,1,2,2,2,3,2,1,NA,3,2,2,2,4,1,3,3,4,5,2,2,2,1,1,1,2,9,2,8,7,2,1,1,1,9,1,8,7,12,6,1,5,8,1,8,8,6,8,1,6,8,3,7,7,12,7,4,1,3,7,6,4,4,12,11,9,1,8,2,3,7,7,12,12,1,4,4,4,4,4,1,2,2,2,2,2,1,3,3,3,3,3,1,2,3,2,1,3,1,11,1,1,8,8,1,1,1,5,4,1,5,5,4,1,2,4,3,1,2,2,2,2,2,1,2,2,2,1,2,2,2,NA,NA,NA,10,1,1,2,2,1,1,1,1,2,2,1,1,1,4,1,11,11,7,6,5,4,6,6,9,1,11,11,11,11,11,11,11,11,"Labour",1
"1872",2358,48,1,3,3,1,1,1,1,2,5,2,2011-04-18 14:51:43,2011-04-18 15:12:17,0.450913228137585,2,NA,2,9,3,2,1,2,2,1,2,1,2,1,3,3,2,1,10,11,"__NA__",2,2,2,2,2,1,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",2,NA,1,2,2,7,11,2,"__NA__",2,NA,"__NA__",2,3,1,5,2,1,5,5,"__NA__",4,2,2,2,1,1,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,1,2,2,2,2,2,"__NA__",2,2,1,2,2,2,2,2,"__NA__",1,4,2,4,4,4,6,1,3,1,3,3,2,NA,10,1,1,"THe economy",2,"THe Economy",2,1,3,5,5,5,5,4,5,5,3,1,3,4,1,1,2,3,5,2,3,1,2,2,3,4,2,2,NA,3,2,2,2,4,1,3,1,4,4,2,2,3,1,1,1,1,10,8,1,3,1,1,1,1,6,1,12,2,12,12,1,4,7,1,12,12,12,12,1,3,7,3,12,12,12,12,4,1,4,9,5,5,4,10,11,8,1,8,3,8,8,8,3,3,1,4,4,4,4,4,1,1,2,2,3,2,1,2,3,3,3,3,1,2,4,1,1,4,1,10,1,8,1,1,1,1,1,4,4,1,5,5,4,1,2,3,2,2,4,2,6,2,3,1,2,2,2,2,2,2,1,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,1,1,3,4,1,2,2,1,1,1,1,1,1,9,1,9,9,9,9,9,9,9,9,"Labour",1
"1873",2359,28,2,6,6,3,4,3,1,5,16,2,2011-04-17 23:04:39,2011-04-17 23:16:32,0.149688074333751,7,NA,1,8,1,1,1,2,2,1,2,1,2,1,2,1,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,7,"__NA__",NA,NA,1,1,9,11,7,13,"__NA__",NA,NA,"__NA__",3,2,1,2,2,2,4,4,"__NA__",4,2,1,1,1,1,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,4,1,3,4,5,6,1,3,1,3,12,1,1,11,2,1,"economic recovery",11,"economic recovery - poverty",3,1,6,2,5,4,5,5,5,5,6,1,2,4,2,6,1,4,6,2,5,1,2,6,1,3,2,NA,1,3,5,6,5,6,NA,6,NA,5,5,3,2,2,2,NA,1,3,8,6,8,8,1,1,1,1,12,1,7,8,12,12,1,12,12,12,12,12,12,12,1,1,12,4,8,8,12,7,4,1,4,10,7,5,4,11,11,3,1,12,12,12,12,12,12,12,1,4,4,3,3,3,1,2,2,2,5,2,1,2,2,3,5,5,1,2,2,2,1,2,1,8,1,4,7,7,1,1,1,5,4,1,2,2,4,1,2,3,3,1,1,2,2,3,2,2,1,2,2,2,2,2,NA,6,NA,NA,NA,1,1,1,1,1,1,1,2,2,1,1,1,2,4,1,9,9,5,7,1,5,7,8,10,1,9,9,9,9,9,9,9,9,"Labour",2
"1874",2360,18,1,1,1,5,3,1,2,6,11,1,2011-04-10 18:12:50,2011-04-10 18:25:18,4.99910663875539,2,NA,2,10,1,2,1,2,2,1,2,1,2,1,2,2,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",2,NA,1,1,11,1,1,2,"__NA__",2,NA,"__NA__",3,2,1,1,2,1,4,4,"__NA__",1,2,2,1,2,2,1,2,"Independents",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,1,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,3,3,3,3,2,3,NA,3,NA,NA,1,1,11,2,2,"Government spending cuts",3,"employment",3,1,4,3,5,4,5,5,5,4,4,1,4,5,1,1,2,1,2,1,3,1,1,2,1,2,1,NA,1,2,3,2,3,4,1,5,3,5,5,2,2,2,1,1,1,1,11,1,6,3,2,8,1,1,11,1,10,3,1,12,1,4,9,1,7,1,1,12,1,1,10,1,10,8,1,12,4,1,5,9,7,4,2,9,10,11,1,9,1,4,8,10,1,3,1,4,4,4,4,4,1,2,5,1,2,2,1,4,5,5,5,4,1,2,3,1,1,2,1,11,1,1,5,1,1,5,1,5,4,1,5,2,4,1,2,1,1,1,4,3,4,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,1,1,2,5,1,11,11,1,7,7,7,1,1,11,1,6,1,2,2,11,9,6,2,"Labour",2
"1875",2363,51,2,7,7,2,7,6,1,5,9,1,2011-05-02 15:17:16,2011-05-02 15:41:13,0.557795484071642,7,NA,3,2,4,3,1,3,2,2,2,2,1,1,2,2,2,1,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,5,7,"__NA__",NA,NA,1,12,12,12,1,13,"__NA__",NA,NA,"__NA__",5,3,2,5,5,NA,NA,NA,"__NA__",8,2,1,1,1,1,1,2,"Green Party",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,4,1,3,2,3,6,3,NA,3,NA,NA,2,NA,2,5,3,"Unemployment",11,"Unemployment",11,1,3,2,3,4,4,2,3,3,3,1,4,4,3,3,3,3,4,4,4,1,3,3,3,3,3,3,NA,3,5,4,5,4,5,3,5,3,3,4,3,3,2,NA,1,6,6,6,1,6,6,1,1,6,6,6,12,12,12,12,1,6,6,6,12,12,12,12,1,6,8,8,12,12,12,12,12,1,5,9,6,1,5,1,1,5,1,12,12,12,12,12,12,12,1,2,5,5,5,5,1,2,5,5,5,5,1,5,5,5,5,5,1,5,4,2,2,5,1,6,6,6,1,1,1,1,1,5,5,1,5,5,3,1,2,3,3,1,3,3,3,3,6,2,2,2,2,1,2,2,NA,NA,NA,NA,9,1,2,2,2,1,1,1,2,2,2,1,2,3,2,1,1,1,4,4,1,1,4,4,7,1,6,6,6,6,6,6,6,4,"",1
"1876",2364,33,2,6,6,4,7,1,1,5,14,2,2011-05-02 18:26:09,2011-05-02 18:40:43,0.919155487852738,2,NA,3,4,2,2,2,3,1,1,1,1,2,1,2,2,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,2,2,"__NA__",1,NA,1,3,9,3,3,2,"__NA__",1,NA,"__NA__",3,3,3,2,2,1,4,4,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,6,1,1,1,2,2,1,1,11,3,1,"the ecomony",3,"the economy",3,1,4,2,2,2,4,2,2,2,2,1,2,2,2,2,4,4,2,4,2,1,2,2,2,2,2,2,NA,3,3,2,3,2,2,3,3,2,2,2,2,2,1,1,1,6,9,4,6,3,1,1,1,5,6,3,7,5,5,5,1,7,8,4,6,6,6,6,1,5,5,5,5,5,5,5,12,1,12,12,12,12,12,12,12,6,1,12,12,12,12,12,12,12,1,3,3,3,3,3,1,2,2,2,2,2,1,2,3,3,3,3,1,2,3,1,1,2,1,11,7,7,7,7,1,1,1,2,2,1,2,2,3,1,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,NA,10,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,10,10,3,1,1,1,7,7,2,1,11,11,11,11,11,11,11,11,"Labour",1
"1877",2365,37,1,2,2,5,7,1,2,3,5,2,2011-04-29 22:36:50,2011-04-29 22:55:24,0.776601980291191,2,NA,3,7,3,4,1,2,1,1,1,1,2,1,3,2,2,2,3,10,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,1,2,"__NA__",1,NA,1,6,6,1,1,2,"__NA__",1,NA,"__NA__",2,3,2,5,2,1,4,5,"__NA__",8,2,1,1,1,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,6,2,4,4,6,1,1,3,NA,NA,2,NA,7,1,2,"ECONOMY",3,"economy",3,1,6,4,4,4,5,5,4,3,5,1,3,4,3,2,2,4,4,2,4,1,6,6,6,6,6,1,NA,3,1,3,2,4,1,3,1,4,4,2,2,3,1,1,1,1,11,5,6,6,2,1,1,1,8,5,6,6,6,6,1,4,8,6,6,6,6,6,1,4,6,6,6,6,6,6,12,1,12,12,12,12,12,12,12,6,1,12,12,12,12,12,12,12,1,3,2,3,4,3,1,2,2,2,3,2,1,2,2,3,3,3,1,2,3,2,2,3,1,11,1,1,1,1,1,1,1,5,4,1,5,5,4,1,2,4,2,2,3,4,4,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,2,2,1,1,2,4,1,3,3,3,3,1,1,5,3,7,1,5,6,6,6,6,7,5,4,"Labour",1
"1878",2366,58,1,3,4,5,1,6,1,3,11,1,2011-04-21 16:16:45,2011-04-21 16:26:19,0.394978846480718,7,NA,5,1,5,5,1,5,2,2,2,2,1,1,5,5,5,5,1,1,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,4,6,"__NA__",NA,NA,1,1,1,1,1,12,"__NA__",NA,NA,"__NA__",5,5,5,6,5,NA,NA,NA,"__NA__",8,3,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,6,6,6,6,6,6,3,NA,3,NA,NA,2,NA,1,4,4,"economy",11,"law and order",11,1,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,4,NA,5,3,4,3,4,3,4,3,6,6,6,6,6,2,NA,1,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,1,1,12,12,12,12,12,12,12,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,12,12,12,12,12,12,12,1,6,6,1,6,6,6,1,6,6,6,6,6,6,6,4,5,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,1,5,5,5,5,5,1,5,5,5,5,5,6,6,1,12,12,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,12,"",1
"1879",2368,46,1,3,3,6,1,5,2,2,3,2,2011-04-27 09:07:14,2011-04-27 09:26:07,0.424455588612853,5,3,2,6,1,1,1,1,1,1,1,1,2,1,5,4,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,5,"__NA__",2,NA,1,1,11,6,6,7,"__NA__",2,NA,"__NA__",2,4,4,5,5,NA,NA,NA,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,5,1,1,3,1,5,1,7,1,5,7,1,2,11,1,1,"cost of living",2,"cost of living",2,1,5,5,3,3,5,5,5,5,5,1,5,5,3,3,3,4,5,4,5,1,5,5,3,5,5,NA,1,5,3,5,3,5,3,5,3,5,5,5,5,5,2,NA,1,1,6,1,2,7,1,10,1,1,6,1,6,3,1,6,1,1,4,1,5,1,1,4,1,1,5,1,6,1,1,6,6,1,4,11,10,8,6,12,6,6,1,12,12,12,12,12,12,12,1,4,3,4,4,4,1,3,4,3,3,4,1,4,3,4,4,4,1,3,4,3,1,4,1,1,1,1,1,6,1,11,1,4,4,1,4,4,5,1,3,5,1,1,5,5,5,4,5,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,1,1,1,1,5,5,1,11,11,1,1,6,1,6,6,6,1,1,1,6,1,6,6,6,1,"",2
